1,224,3,7,64,112,2,2.5
2,56,64,1,64,56,1,0
3,56,64,3,64,56,1,1 
4,56,64,1,256,56,1,0 
5,56,64,1,256,56,1,0 
6,56,256,1,64,56,1,0
7,56,64,3,64,56,1,1 
8,56,64,1,256,56,1,0 
9,56,256,1,64,56,1,0 
10,56,64,3,64,56,1,1 
11,56,64,1,256,56,1,0
12,55,256,1,128,28,2,0 
13,28,128,3,128,28,1,1
14,28,128,1,512,28,1,0 
15,55,256,1,512,28,2,0
16,28,512,1,128,28,1,0
17,28,128,3,128,28,1,1
18,28,128,1,512,28,1,0 
19,28,512,1,128,28,1,0
20,28,128,3,128,28,1,1
21,28,128,1,512,28,1,0 
22,28,512,1,128,28,1,0
23,28,128,3,128,28,1,1
24,28,128,1,512,28,1,0 
25,27,512,1,256,14,2,0 
26,14,256,3,256,14,1,1
27,14,256,1,1024,14,1,0 
28,27,512,1,1024,14,2,0
29,14,1024,1,256,14,1,0
30,14,256,3,256,14,1,1
31,14,256,1,1024,14,1,0 
32,14,1024,1,256,14,1,0
33,14,256,3,256,14,1,1
34,14,256,1,1024,14,1,0 
35,14,1024,1,256,14,1,0
36,14,256,3,256,14,1,1
37,14,256,1,1024,14,1,0 
38,14,1024,1,256,14,1,0
39,14,256,3,256,14,1,1
40,14,256,1,1024,14,1,0 
41,14,1024,1,256,14,1,0
42,14,256,3,256,14,1,1
43,14,256,1,1024,14,1,0 
44,13,1024,1,512,7,2,0 
45,7,512,3,512,7,1,1
46,7,512,1,2048,7,1,0 
47,13,1024,1,2048,7,2,0
48,7,2048,1,512,7,1,0
49,7,512,3,512,7,1,1
50,7,512,1,2048,7,1,0
51,7,2048,1,512,7,1,0
52,7,512,3,512,7,1,1
53,7,512,1,2048,7,1,0
54,1,2048,1,1000,1,1,0


